No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
266,A11F2S2642212513,6,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212513
267,A11F2S2642212519,1,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212519
268,A11F2S2642212518,2,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212518
269,A11F2S2642212528,4,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212528
270,A11F2S2642212532,5,2026-08-19 16:03,04:05.0,04:05.0,A11F2S2642212532
271,A11F2S2642211352,3,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642211352
272,A11F2S2642212539,5,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642212539
273,A11F2S2642211342,1,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642211342
274,A11F2S2642212533,4,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642212533
275,A11F2S2642212538,6,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642212538
276,A11F2S2642211341,2,2026-08-19 16:03,03:57.0,03:57.0,A11F2S2642211341
277,A11F2S2642211357,4,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211357
278,A11F2S2642211356,5,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211356
279,A11F2S2642211355,6,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211355
280,A11F2S2642211347,2,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211347
281,A11F2S2642211358,3,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211358
282,A11F2S2642211348,1,2026-08-19 16:03,03:49.0,03:49.0,A11F2S2642211348
283,A11F2S2642211343,3,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211343
284,A11F2S2642211344,4,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211344
285,A11F2S2642211345,5,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211345
286,A11F2S2642211335,1,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211335
287,A11F2S2642211346,6,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211346
288,A11F2S2642211336,2,2026-08-19 16:03,03:41.0,03:41.0,A11F2S2642211336
289,A11F2S2642212488,1,2026-08-19 16:03,03:34.0,03:34.0,A11F2S2642212488
